ETIQUETA,TIPO VEHÍCULO,ACCESO,CIUDAD,ZBE,ESTADO ZBE,OBSERVACIONES,URL - ORDENANZA MOVILIDAD SOSTENIBLE
SIN ETIQUETA,turismo,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,motocicleta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,furgoneta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,camión (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,autobús (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,furgoneta >3500 kg,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,camión >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
SIN ETIQUETA,autobús >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,turismo,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,motocicleta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,furgoneta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,camión (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,autobús (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,furgoneta >3500 kg,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,camión >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
B,autobús >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,turismo,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,motocicleta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,furgoneta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,camión (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,autobús (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,furgoneta >3500 kg,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,camión >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
C,autobús >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,turismo,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,motocicleta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,furgoneta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,camión (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,autobús (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,furgoneta >3500 kg,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,camión >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
ECO,autobús >3500 kg (servicios),CONDICIONADO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: 
SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.
OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
0,turismo,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
0,motocicleta,PROHIBIDO,A Coruña,A Coruña - Marina y Ciudad Vieja,Vigente,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.
EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.
EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.
OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios. ",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.coruna.gal/descarga/1453902501202/Ordenanza-de-Movilidad-Sostenible-del-Concello-da-Coruna_castellano.pdf
