city,badge,vehicle,access,obs_access,obs_mobility,obs_parking,lat,lng
A Coruña,B,furgoneta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,B,camión (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,B,autobús (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,B,furgoneta >3500 kg,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,B,camión >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,B,autobús >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,turismo,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,motocicleta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,furgoneta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,camión (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
